Change Component Designator: OldDesignator=C21 NewDesignator=C21、
Added Pin To Net: NetName=NetB1_1 Pin=B1-1
Added Pin To Net: NetName=NetB1_2 Pin=B1-2
Added Pin To Net: NetName=VCCBAT Pin=C1-1
Added Pin To Net: NetName=GND Pin=C1-2
Added Pin To Net: NetName=GND Pin=C2-1
Added Pin To Net: NetName=VCCBAT Pin=C2-2
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=VCCBAT Pin=C3-2
Added Pin To Net: NetName=NetC4_1 Pin=C4-1
Added Pin To Net: NetName=NetC4_2 Pin=C4-2
Added Pin To Net: NetName=GND Pin=C5-1
Added Pin To Net: NetName=VCCSteer Pin=C5-2
Added Pin To Net: NetName=VCCSteer Pin=C6-1
Added Pin To Net: NetName=GND Pin=C6-2
Added Pin To Net: NetName=GND Pin=C7-1
Added Pin To Net: NetName=NetC7_2 Pin=C7-2
Added Pin To Net: NetName=NetC9_1 Pin=C9-1
Added Pin To Net: NetName=GND Pin=C9-2
Added Pin To Net: NetName=GND Pin=C10-1
Added Pin To Net: NetName=NetC9_1 Pin=C10-2
Added Pin To Net: NetName=VCC5V Pin=C11-1
Added Pin To Net: NetName=GND Pin=C12-1
Added Pin To Net: NetName=VCC5V Pin=C12-2
Added Pin To Net: NetName=VCC5V Pin=C13-1
Added Pin To Net: NetName=GND Pin=C13-2
Added Pin To Net: NetName=VCC5V Pin=C14-1
Added Pin To Net: NetName=GND Pin=C14-2
Added Pin To Net: NetName=VCC3V3 Pin=C15-1
Added Pin To Net: NetName=GND Pin=C15-2
Added Pin To Net: NetName=VCC3V3 Pin=C16-1
Added Pin To Net: NetName=GND Pin=C16-2
Added Pin To Net: NetName=GND Pin=C17-1
Added Pin To Net: NetName=VCC5V Pin=C17-2
Added Pin To Net: NetName=GND Pin=C18-1
Added Pin To Net: NetName=VCC5V Pin=C18-2
Added Pin To Net: NetName=VCCCAM Pin=C19-1
Added Pin To Net: NetName=GND Pin=C19-2
Added Pin To Net: NetName=GND Pin=C20-1
Added Pin To Net: NetName=VCCCAM Pin=C20-2
